Kabupaten/Kota,Golongan_Umur,Angkatan_Kerja,Bekerja,Pengangguran,TPT
Kabupaten Pacitan,15-24,36038,32824,3214,8.92
Kabupaten Ponorogo,15-24,67389,56977,10412,15.45
Kabupaten Trenggalek,15-24,50599,43932,6667,13.18
Kabupaten Tulungagung,15-24,82517,67905,14612,17.71
Kabupaten Blitar,15-24,94199,82487,11712,12.43
Kabupaten Kediri,15-24,120198,105245,14953,12.44
Kabupaten Malang,15-24,229404,180834,48570,21.17
Kabupaten Lumajang,15-24,78681,70190,8491,10.79
Kabupaten Jember,15-24,174290,157336,16954,9.73
Kabupaten Banyuwangi,15-24,132112,110977,21135,16.0
Kabupaten Bondowoso,15-24,49313,45555,3758,7.62
Kabupaten Situbondo,15-24,49296,42492,6804,13.8
Kabupaten Probolinggo,15-24,90015,84903,5112,5.68
Kabupaten Pasuruan,15-24,113646,94477,19169,16.87
Kabupaten Sidoarjo,15-24,172865,141229,31636,18.3
Kabupaten Mojokerto,15-24,89836,79666,10170,11.32
Kabupaten Jombang,15-24,121911,107804,14107,11.57
Kabupaten Nganjuk,15-24,92242,76919,15323,16.61
Kabupaten Madiun,15-24,52156,49452,2704,5.18
Kabupaten Magetan,15-24,45243,40381,4862,10.75
Kabupaten Ngawi,15-24,59983,56412,3571,5.95
Kabupaten Bojonegoro,15-24,99072,84797,14275,14.41
Kabupaten Tuban,15-24,91049,82005,9044,9.93
Kabupaten Lamongan,15-24,100820,79441,21379,21.21
Kabupaten Gresik,15-24,100083,85268,14815,14.8
Kabupaten Bangkalan,15-24,71940,52531,19409,26.98
Kabupaten Sampang,15-24,72804,67840,4964,6.82
Kabupaten Pamekasan,15-24,71693,66937,4756,6.63
Kabupaten Sumenep,15-24,80522,76355,4167,5.17
Kota Kediri,15-24,26405,24192,2213,8.38
Kota Blitar,15-24,13829,12161,1668,12.06
Kota Malang,15-24,58643,47273,11370,19.39
Kota Probolinggo,15-24,19649,15671,3978,20.25
Kota Pasuruan,15-24,20775,17929,2846,13.7
Kota Mojokerto,15-24,11105,9121,1984,17.87
Kota Madiun,15-24,15269,13497,1772,11.61
Kota Surabaya,15-24,216137,188881,27256,12.61
Kota Batu,15-24,20118,17425,2693,13.39
Kabupaten Pacitan,25-34,72413,71456,957,1.32
Kabupaten Ponorogo,25-34,113557,107013,6544,5.76
Kabupaten Trenggalek,25-34,85302,80034,5268,6.18
Kabupaten Tulungagung,25-34,123791,121934,1857,1.5
Kabupaten Blitar,25-34,143562,133326,10236,7.13
Kabupaten Kediri,25-34,189901,183124,6777,3.57
Kabupaten Malang,25-34,321681,311536,10145,3.15
Kabupaten Lumajang,25-34,127437,121906,5531,4.34
Kabupaten Jember,25-34,322583,306522,16061,4.98
Kabupaten Banyuwangi,25-34,198780,189236,9544,4.8
Kabupaten Bondowoso,25-34,92557,90324,2233,2.41
Kabupaten Situbondo,25-34,85599,82505,3094,3.61
Kabupaten Probolinggo,25-34,144758,138593,6165,4.26
Kabupaten Pasuruan,25-34,190656,183031,7625,4.0
Kabupaten Sidoarjo,25-34,275432,263736,11696,4.25
Kabupaten Mojokerto,25-34,152884,146783,6101,3.99
Kabupaten Jombang,25-34,161475,157643,3832,2.37
Kabupaten Nganjuk,25-34,127230,122101,5129,4.03
Kabupaten Madiun,25-34,78418,73581,4837,6.17
Kabupaten Magetan,25-34,73414,70651,2763,3.76
Kabupaten Ngawi,25-34,101898,98734,3164,3.11
Kabupaten Bojonegoro,25-34,162248,156803,5445,3.36
Kabupaten Tuban,25-34,133104,129263,3841,2.89
Kabupaten Lamongan,25-34,163910,153590,10320,6.3
Kabupaten Gresik,25-34,155458,149319,6139,3.95
Kabupaten Bangkalan,25-34,138930,131454,7476,5.38
Kabupaten Sampang,25-34,151812,148410,3402,2.24
Kabupaten Pamekasan,25-34,122041,120342,1699,1.39
Kabupaten Sumenep,25-34,136358,134774,1584,1.16
Kota Kediri,25-34,37432,35456,1976,5.28
Kota Blitar,25-34,20433,19575,858,4.2
Kota Malang,25-34,113472,104756,8716,7.68
Kota Probolinggo,25-34,31996,30151,1845,5.77
Kota Pasuruan,25-34,29174,27581,1593,5.46
Kota Mojokerto,25-34,15305,14311,994,6.49
Kota Madiun,25-34,26524,24436,2088,7.87
Kota Surabaya,25-34,364253,344027,20226,5.55
Kota Batu,25-34,30807,29831,976,3.17
Kabupaten Pacitan,35-44,75629,75398,231,0.31
Kabupaten Ponorogo,35-44,124979,121857,3122,2.5
Kabupaten Trenggalek,35-44,95551,92708,2843,2.98
Kabupaten Tulungagung,35-44,144170,140571,3599,2.5
Kabupaten Blitar,35-44,159763,153236,6527,4.09
Kabupaten Kediri,35-44,196436,188914,7522,3.83
Kabupaten Malang,35-44,341071,330157,10914,3.2
Kabupaten Lumajang,35-44,126216,123991,2225,1.76
Kabupaten Jember,35-44,326818,321048,5770,1.77
Kabupaten Banyuwangi,35-44,197216,193019,4197,2.13
Kabupaten Bondowoso,35-44,99213,95005,4208,4.24
Kabupaten Situbondo,35-44,88982,86994,1988,2.23
Kabupaten Probolinggo,35-44,151295,145618,5677,3.75
Kabupaten Pasuruan,35-44,223230,215336,7894,3.54
Kabupaten Sidoarjo,35-44,282595,277836,4759,1.68
Kabupaten Mojokerto,35-44,116747,112860,3887,3.33
Kabupaten Jombang,35-44,162609,160380,2229,1.37
Kabupaten Nganjuk,35-44,142447,139349,3098,2.17
Kabupaten Madiun,35-44,88186,86440,1746,1.98
Kabupaten Magetan,35-44,82731,81340,1391,1.68
Kabupaten Ngawi,35-44,105570,104046,1524,1.44
Kabupaten Bojonegoro,35-44,170059,164737,5322,3.13
Kabupaten Tuban,35-44,155241,151506,3735,2.41
Kabupaten Lamongan,35-44,169299,166914,2385,1.41
Kabupaten Gresik,35-44,169320,164929,4391,2.59
Kabupaten Bangkalan,35-44,144734,142063,2671,1.85
Kabupaten Sampang,35-44,140587,139914,673,0.48
Kabupaten Pamekasan,35-44,120788,120788,0,0.0
Kabupaten Sumenep,35-44,152294,150991,1303,0.86
Kota Kediri,35-44,36498,35926,572,1.57
Kota Blitar,35-44,20584,19945,639,3.1
Kota Malang,35-44,116822,114026,2796,2.39
Kota Probolinggo,35-44,29393,29393,0,0.0
Kota Pasuruan,35-44,28758,28363,395,1.37
Kota Mojokerto,35-44,18592,18211,381,2.05
Kota Madiun,35-44,24606,23882,724,2.94
Kota Surabaya,35-44,375276,365207,10069,2.68
Kota Batu,35-44,30482,29923,559,1.83
Kabupaten Pacitan,45-54,72765,71677,1088,1.5
Kabupaten Ponorogo,45-54,128470,126242,2228,1.73
Kabupaten Trenggalek,45-54,94178,91104,3074,3.26
Kabupaten Tulungagung,45-54,145186,139410,5776,3.98
Kabupaten Blitar,45-54,158226,154406,3820,2.41
Kabupaten Kediri,45-54,192426,181859,10567,5.49
Kabupaten Malang,45-54,325343,318778,6565,2.02
Kabupaten Lumajang,45-54,133337,132248,1089,0.82
Kabupaten Jember,45-54,318793,313257,5536,1.74
Kabupaten Banyuwangi,45-54,230696,224739,5957,2.58
Kabupaten Bondowoso,45-54,101445,100768,677,0.67
Kabupaten Situbondo,45-54,91195,90038,1157,1.27
Kabupaten Probolinggo,45-54,155951,151971,3980,2.55
Kabupaten Pasuruan,45-54,201183,199311,1872,0.93
Kabupaten Sidoarjo,45-54,265132,250307,14825,5.59
Kabupaten Mojokerto,45-54,139509,136741,2768,1.98
Kabupaten Jombang,45-54,156013,153397,2616,1.68
Kabupaten Nganjuk,45-54,138163,136224,1939,1.4
Kabupaten Madiun,45-54,98791,96617,2174,2.2
Kabupaten Magetan,45-54,85099,82767,2332,2.74
Kabupaten Ngawi,45-54,103985,103022,963,0.93
Kabupaten Bojonegoro,45-54,181284,178430,2854,1.57
Kabupaten Tuban,45-54,155949,148960,6989,4.48
Kabupaten Lamongan,45-54,176034,174385,1649,0.94
Kabupaten Gresik,45-54,163905,156949,6956,4.24
Kabupaten Bangkalan,45-54,112547,111193,1354,1.2
Kabupaten Sampang,45-54,113606,111470,2136,1.88
Kabupaten Pamekasan,45-54,113422,112541,881,0.78
Kabupaten Sumenep,45-54,153887,149733,4154,2.7
Kota Kediri,45-54,33513,32613,900,2.69
Kota Blitar,45-54,18775,18260,515,2.74
Kota Malang,45-54,104280,101026,3254,3.12
Kota Probolinggo,45-54,26352,25920,432,1.64
Kota Pasuruan,45-54,25279,24575,704,2.78
Kota Mojokerto,45-54,16544,16354,190,1.15
Kota Madiun,45-54,25590,25283,307,1.2
Kota Surabaya,45-54,371948,359972,11976,3.22
Kota Batu,45-54,28540,28380,160,0.56
Kabupaten Pacitan,55-64,72423,72423,0,0.0
Kabupaten Ponorogo,55-64,107203,105995,1208,1.13
Kabupaten Trenggalek,55-64,83643,83342,301,0.36
Kabupaten Tulungagung,55-64,109477,108119,1358,1.24
Kabupaten Blitar,55-64,129158,127805,1353,1.05
Kabupaten Kediri,55-64,149871,146803,3068,2.05
Kabupaten Malang,55-64,244252,241878,2374,0.97
Kabupaten Lumajang,55-64,110833,109356,1477,1.33
Kabupaten Jember,55-64,279365,276325,3040,1.09
Kabupaten Banyuwangi,55-64,169359,169359,0,0.0
Kabupaten Bondowoso,55-64,83274,82662,612,0.73
Kabupaten Situbondo,55-64,72934,72489,445,0.61
Kabupaten Probolinggo,55-64,107847,107847,0,0.0
Kabupaten Pasuruan,55-64,157535,156098,1437,0.91
Kabupaten Sidoarjo,55-64,154277,147750,6527,4.23
Kabupaten Mojokerto,55-64,118883,118175,708,0.6
Kabupaten Jombang,55-64,122022,119728,2294,1.88
Kabupaten Nganjuk,55-64,103664,103664,0,0.0
Kabupaten Madiun,55-64,80753,79049,1704,2.11
Kabupaten Magetan,55-64,70512,69037,1475,2.09
Kabupaten Ngawi,55-64,92737,92097,640,0.69
Kabupaten Bojonegoro,55-64,141157,136920,4237,3.0
Kabupaten Tuban,55-64,122798,122015,783,0.64
Kabupaten Lamongan,55-64,139071,139071,0,0.0
Kabupaten Gresik,55-64,100122,94723,5399,5.39
Kabupaten Bangkalan,55-64,83053,82510,543,0.65
Kabupaten Sampang,55-64,75395,73758,1637,2.17
Kabupaten Pamekasan,55-64,77159,77159,0,0.0
Kabupaten Sumenep,55-64,123694,122601,1093,0.88
Kota Kediri,55-64,23742,23283,459,1.93
Kota Blitar,55-64,12672,12333,339,2.68
Kota Malang,55-64,65033,64280,753,1.16
Kota Probolinggo,55-64,17542,17242,300,1.71
Kota Pasuruan,55-64,16448,16215,233,1.42
Kota Mojokerto,55-64,9886,9886,0,0.0
Kota Madiun,55-64,17175,17030,145,0.84
Kota Surabaya,55-64,224563,216476,8087,3.6
Kota Batu,55-64,21845,21222,623,2.85
Kabupaten Pacitan,65+,63126,63126,0,0.0
Kabupaten Ponorogo,65+,88143,87383,760,0.86
Kabupaten Trenggalek,65+,61478,61478,0,0.0
Kabupaten Tulungagung,65+,70172,70172,0,0.0
Kabupaten Blitar,65+,88526,87473,1053,1.19
Kabupaten Kediri,65+,89957,88657,1300,1.45
Kabupaten Malang,65+,152553,150335,2218,1.45
Kabupaten Lumajang,65+,65331,64373,958,1.47
Kabupaten Jember,65+,162421,161129,1292,0.8
Kabupaten Banyuwangi,65+,108641,108641,0,0.0
Kabupaten Bondowoso,65+,65821,64760,1061,1.61
Kabupaten Situbondo,65+,59199,59199,0,0.0
Kabupaten Probolinggo,65+,67314,67314,0,0.0
Kabupaten Pasuruan,65+,94809,91396,3413,3.6
Kabupaten Sidoarjo,65+,59399,59293,106,0.18
Kabupaten Mojokerto,65+,59398,59398,0,0.0
Kabupaten Jombang,65+,58979,58371,608,1.03
Kabupaten Nganjuk,65+,59692,59692,0,0.0
Kabupaten Madiun,65+,58227,56682,1545,2.65
Kabupaten Magetan,65+,58306,57576,730,1.25
Kabupaten Ngawi,65+,71746,69523,2223,3.1
Kabupaten Bojonegoro,65+,89645,88841,804,0.9
Kabupaten Tuban,65+,64718,64256,462,0.71
Kabupaten Lamongan,65+,84478,84478,0,0.0
Kabupaten Gresik,65+,47009,44469,2540,5.4
Kabupaten Bangkalan,65+,49331,48906,425,0.86
Kabupaten Sampang,65+,49236,47304,1932,3.92
Kabupaten Pamekasan,65+,45590,45590,0,0.0
Kabupaten Sumenep,65+,101303,101303,0,0.0
Kota Kediri,65+,10222,10026,196,1.92
Kota Blitar,65+,7638,7638,0,0.0
Kota Malang,65+,28544,27723,821,2.88
Kota Probolinggo,65+,8068,8068,0,0.0
Kota Pasuruan,65+,7989,7861,128,1.6
Kota Mojokerto,65+,4685,4685,0,0.0
Kota Madiun,65+,8158,8158,0,0.0
Kota Surabaya,65+,89252,87434,1818,2.04
Kota Batu,65+,10694,10681,13,0.12
